"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","exotic.to.NA","invasive.in.NA","globally.invasive","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","X","X.1","X.2","X.3","X.4","wos","wos_pet_trade","wos_live_trade","wos_bait","wos_biol_supply","wos_aquaculture","wos_stocking","wos_boating","wos_shipping","wos_canal","wos_spread_adj","wos_bc","wos_salmon","wos_impact"
"1","Acipenser transmontanus ","white sturgeon","sturgeon","fish","","","","","Oregon, California","","","","","","yes","","","",NA,NA,"","","no","yes","no","Crossman 1991, DFO aquaculture liscences","","","","",NA,NA,"",30,9,1,2,0,84,118,3,3,18,45,31,0,0
"2","Acorus gramineus","Grassy-leaved sweet flag (Japanese sweetflag) ","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",3,0,0,0,0,1,0,1,0,1,0,0,0,0
"3","Agapanthus africanus ","lily of the Nile","","plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Alosa mediocris","Hickory shad","shad","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",0,0,0,0,0,0,5,0,0,0,0,0,0,0
"5","Alosa sapidissima","American shad","shad","fish","","yes","yes","","USA","","","","","","","","","",NA,NA,"yes","","no","yes","no","Crossman 1991, BC Ministry List","","","","",NA,NA,"",35,1,0,0,1,4,108,2,1,3,9,9,1,1
"6","Alternanthera ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,299,"",302,3,1,1,4,15,3,3,0,6,1,0,0,6
"7","Ameiurus brunneus","Snail bullhead","bullhead","fish","","","","","","Yes","","","","","","","","",NA,NA,"yes","Montana","no","yes?","no","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","",NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Ameiurus melas","Black bullhead","bullhead","fish","","yes","yes","","","","","","","yes","","","","",NA,NA,"yes","Montana","no","yes","yes","Crossman 1991, BC Ministry List, Keller and Lodge 2007","","Clancy and Bourret 2020","","",NA,NA,"",59,7,0,3,0,7,11,3,0,4,1,1,1,1
"9","Ameiurus natalis","Yellow bullhead","bullhead catfish","fish","yes","","","","","","","","","","","","","",NA,NA,"yes","Montana","no","yes","no","BC Ministry List","","Clancy and Bourret 2020","","",NA,NA,"",8,1,0,1,0,0,5,0,0,1,2,1,0,1
"10","Ameiurus nebulosus ","Brown bullhead","bullhead","fish","","yes","yes","","","Yes","","","","","","","","",NA,NA,"yes","Montana, Washington","no","yes","yes","Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017","Clancy and Bourret 2020, Bonar et al. 2005","","",NA,NA,"",53,5,0,1,0,3,12,2,0,4,17,2,1,0
"11","Ameiurus platycephalus ","Flat bullhead","bullhead","fish","","","","","","Yes","","","","","","","","",NA,NA,"yes","Montana","no","yes","yes","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","",NA,NA,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Amia calva","bowfin","bowfin","fish","","","","","Ontario","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",2,1,1,1,0,1,2,0,0,2,1,0,0,0
"13","(Ammania senegalensis OR Ammannia auriculata)","copper leaf ammania","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Anemopsis californica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"15","Anguilla australis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,28,"",28,3,0,1,0,13,22,1,2,2,0,1,0,0
"16","Anguilla bicolor ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,5,"",5,1,1,0,0,9,9,0,1,0,0,0,0,0
"17","Anguilla japonica ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,60,"",64,16,1,0,0,119,104,1,4,9,1,0,1,0
"18","Anguilla rostrata ","American eel","eel","fish","","","yes","","Newfoundland, Quebec, NY","","","","yes","","","","","",NA,NA,"","","no","yes","no","Crossman 1991, Mandrak et al 2014","","","","",NA,NA,"",53,3,0,2,0,19,64,5,3,5,2,1,3,0
"19","Anubias","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,1,"",1,2,0,0,0,0,0,0,0,0,0,0,0,0
"20","(Aponogeton crispus OR Aponogeton elongatus)","Ruffled Sword Plant","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","",NA,6,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"21","Aponogeton madagascariensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Astronotus ocellatus","Oscar","cichlid","fish","yes","","","","","","","","","","","","","",NA,NA,"","","yes","yes","yes","BC Ministry List","","","","",NA,NA,"",13,12,0,1,0,4,6,1,0,3,0,0,0,0
"23","Atractosteus spatula ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,5,"",5,4,0,0,0,7,17,0,0,0,0,0,0,0
"24","Azolla caroliniana","Eastern mosquito fern","fern","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,6,"",6,0,0,0,1,3,1,0,0,1,0,0,0,0
"25","Azolla filiculoides","Large mosquito fern","fern","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,86,"",86,3,1,0,1,16,1,0,0,7,0,0,0,2
"26","Bacopa australis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","(Bacopa caroliniana OR Bacopa amplexicaulis)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","",NA,11,"",1,1,0,0,0,0,0,0,0,1,0,0,0,0
"28","Bacopa monnieri ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,9,"",11,9,0,0,0,16,2,0,0,0,0,0,0,0
"29","Barbonymus altus ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"30","Barbonymus schwanenfeldii ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,4,"",4,4,0,0,0,2,1,0,0,0,0,0,0,1
"31","Barclaya","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","(Barclaya longifolia OR Hydrostemma longifolium)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,3,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","(Bellamya chinensis  OR Cipangopaludina chinensis)","Chinese Mysterysnail ","mollusc","invertebrate","yes","","yes","no","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","yes?","Schroeder et al. 2014, BC Ministry List","","(Olden et al. 2009)","","",NA,NA,"",33,4,0,0,0,1,1,5,2,2,2,0,0,0
"34","(Bellamya japonica OR Cipangopaludina japonica)","Japanese Mysterysnail ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","","","net fouler","",NA,7,"",6,0,0,0,0,0,0,1,0,0,0,0,0,0
"35","Betta splendens","Siamese fighting fish","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Gertzen et al. 2007","","","","",NA,15,"",15,38,4,0,2,12,13,0,0,2,0,0,0,0
"36","Biomphalaria alexandrina ","","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",12,0,0,3,2,0,0,0,0,5,0,0,0,0
"37","Biomphalaria glabrata ","Bloodfluke Planorb ","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","yes","yes?","no","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",112,21,2,5,4,49,33,0,1,14,3,0,0,4
"38","Biomphalaria pfeifferi ","","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",19,7,0,1,0,6,4,1,0,17,1,0,0,1
"39","Biomphalaria straminea ","","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","no","yes","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",32,2,0,0,0,5,0,0,0,1,0,0,0,1
"40","Bithynia tentaculata ","Faucet Snail ","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"yes","Montana","yes","yes","no","Schroeder et al. 2014","Harman 2000; Haynes et al. 2005","Sanland and Pierce 2021","","",NA,NA,"",30,2,0,0,0,0,1,5,4,1,2,0,0,0
"41","Bletilla striata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,4,"",4,1,0,0,0,7,1,0,0,2,0,0,0,0
"42","Bosmina coregoni","water flea","cladocera","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","no","","Lee et al. 2016","","","",NA,NA,"",12,0,0,0,0,1,3,0,1,1,0,0,0,0
"43","Brachygobius doriae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Bulinus truncatus ","","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, DFO SLRA 2014","","","","",NA,NA,"",17,1,0,1,0,2,1,0,0,15,0,0,0,0
"45","Butomus umbellatus","Flowering-rush","rush","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,31,"",31,0,0,0,0,2,0,2,0,2,5,1,0,0
"46","Cabomba aquatic","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","",NA,41,"",41,8,0,0,0,2,0,4,0,4,0,0,0,0
"47","Cabomba caroliniana","","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007, Cohen et al. 2007 ","","","","",NA,39,"",39,8,0,0,0,2,0,4,0,7,0,0,0,0
"48","Cabomba palaeformis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"49","(Cabomba piauhyensis OR Cabomba furcata)","Red Cabomba Plant","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,6,"",3,0,0,0,0,1,0,0,0,0,0,0,0,0
"50","Caladium ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,3,"",5,0,0,1,0,3,3,0,0,0,0,0,0,0
"51","Callitriche stagnalis","Pond water-starwort","starwort","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,4,"",4,0,0,0,0,0,0,0,0,0,1,1,0,0
"52","Caltha","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,3,"",3,0,0,0,0,1,0,0,0,0,1,1,0,0
"53","Carassius auratus ","Goldfish","Goldfish","fish","","yes","yes","","","","yes","yes","yes","","","","","",NA,NA,"","","yes","yes","yes","Crossman 1991, Mandrak et al 2014, Gartner et al. 2011, BC Ministry List, Keller and Lodge 2007, Gertzen et al. 2007","","","","",NA,NA,"",281,160,7,4,4,378,144,4,8,47,8,1,6,7
"54","Carassius carassius ","Crucian carp","carp","fish","","","no","","","","","","yes","yes","","","","",NA,NA,"","","yes","no","yes","Mandrak et al 2014","","Roy et al. 2018","","",NA,NA,"",411,174,7,6,5,414,179,4,8,57,13,1,7,12
"55","Carassius gibelio","Prussian carp","carp","fish","","","","","","","","","","","","","","",NA,NA,"yes","Alberta","yes","yes","yes","","","Ruppert et al. 2017","","",NA,NA,"",134,20,0,0,2,103,33,0,0,9,7,1,2,4
"56","(Carex glauca OR Carex flacca)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,36,"",11,0,0,0,0,3,0,0,0,0,6,0,0,0
"57","Catostomus catostomus","Longnose sucker","sucker","fish","","","","","Alberta","","","","","","","yes","","yes",NA,NA,"yes","Montana","no","yes?","no","Crossman 1991","","Clancy and Bourret 2020","","",NA,NA,"",105,8,0,4,1,6,49,7,0,12,65,12,1,3
"58","Catostomus commersonii","White sucker","sucker","fish","","","","","Alberta","","","","","","","yes","","",NA,NA,"yes","Montana","no","yes","no","Crossman 1991","","Clancy and Bourret 2020","","",NA,NA,"",21,1,0,3,0,3,14,3,0,0,6,0,0,0
"59","Ceratophyllum demersum","Common hornwort (coontail)","hornwort","aquatic plant","yes","","","yes","","","yes","","","","","","","",NA,NA,"","","yes","yes","yes","BC Ministry List, Cohen et al. 2007","","","","",NA,NA,"",83,16,0,1,2,23,14,3,1,11,3,1,0,4
"60","Ceratopteris thalictroides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,3,"",3,1,0,0,0,0,0,0,0,6,0,0,0,0
"61","Channa maculata","Blotched snakehead","snakehead","fish","yes","","","","","","","","yes","","","","","",NA,NA,"","","yes","yes","no","BC Ministry List","","Roy et al. 2018","","",NA,NA,"",5,2,1,0,0,9,1,0,0,0,0,0,0,0
"62","Chelydra serpentina","Eastern snapping turtle","turtle","reptile","yes","","","yes","","","","","","","","","","",NA,NA,"","","no","yes","no?","BC Ministry List","","","","",NA,NA,"",27,8,9,9,0,1,5,4,0,5,0,0,0,0
"63","Chelydra serpentina serpentina","Eastern snapping turtle","turtle","reptile","yes","","","yes","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,25,"",27,8,9,9,0,1,5,4,0,5,0,0,0,0
"64","(Cladophora aegagropila OR Aegagropila linnaei)","moss ball, marimo","(syn. Aegagropila linnaei)","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","yes","no","no","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","","",NA,NA,"",1,1,0,0,0,2,0,0,0,0,0,0,0,0
"65","Cobitis taenia ","Spined loach","loach","fish","","yes","no","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Mandrak et al 2014","","","","",NA,NA,"",5,3,0,0,0,2,1,0,0,1,0,0,0,0
"66","Colisa lalia","Dwarf gourami","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Gertzen et al. 2007","","","","",NA,6,"",6,8,2,0,0,13,3,0,0,1,0,0,0,0
"67","Colocasia esculenta","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,61,"",73,0,1,0,0,61,6,0,0,4,0,0,0,1
"68","Corbicula fluminea ","Asian Clam ","mollusc","invertebrate","yes","","yes","no","","","yes","","","","","","","",NA,NA,"yes","Washington","yes","yes","yes","Schroeder et al. 2014, Keller 2007, BC Ministry List; Keller and Lodge 2007","","Ricciardi 1998; Magara et al. 2001; Cataldo et al. 2012, Dexter et al. 2020, Holbrook et al. 2020, Phelps 1994","","",NA,NA,"",457,20,0,2,1,31,22,13,29,25,10,1,1,10
"69","Cordyline","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,13,"",16,0,1,1,0,3,1,1,1,0,1,2,0,0
"70","Coregonus clupeaformis","Lake whitefish","whitefish","fish","","yes","","yes","","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991, BC Ministry List","","","","",NA,NA,"",67,1,1,0,3,6,105,1,4,9,53,18,0,2
"71","Couesius plumbeus","Lake chub","chub","fish","","","","","Alberta","","","","","","","yes","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",2,0,0,1,0,0,2,0,0,0,5,0,0,0
"72","Craspedacusta sowerbyi","Freshwater jellyfish","hydrozoan","invertebrate","yes","","","no","","","","yes","","","","","","",NA,NA,"","","yes","yes","yes","BC Ministry List, Duggan et al. 2018","","","","",NA,NA,"",10,0,0,0,1,0,0,0,1,1,1,1,0,3
"73","Crinum","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,7,"",8,0,0,0,0,2,0,0,0,0,0,0,0,0
"74","(Cryptocoryne cordata OR Cryptocoryne blassii)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,5,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","(Cryptocoryne crispatula OR Cryptocoryne balansae OR Cryptocoryne tonkinensis)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","",NA,2,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","(Cryptocoryne undulata OR Cryptocoryne willisii)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Ctenopharyngodon idella ","Grass carp","carp","fish","","","no","","","Yes","","","yes","","","","","",NA,NA,"yes","Idaho","yes","yes","yes","Mandrak et al 2014, Therriault and Webb 2017","Therriault and Webb 2017, DFO Canadawide RA","Erickson et al. 2017, Roy et al. 2018","","",NA,NA,"",175,24,1,3,3,202,153,6,4,8,5,0,2,2
"78","Culaea inconstans ","Brook stickleback","stickleback","fish","","","","","Alberta","Yes","","","","","","yes","","",NA,NA,"yes","Washington","no","yes","no","Crossman 1991, Therriault and Webb 2017","Therriault and Webb 2017","(Scholz et al. 2003; Wieker et al. 2016)","","",NA,NA,"",9,3,0,1,0,1,2,0,0,0,12,2,0,0
"79","Cyperus alternifolius","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,8,"",8,1,0,0,2,7,0,0,0,1,0,0,0,0
"80","Cyperus longus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",2,0,0,0,0,1,0,0,0,0,0,0,0,0
"81","Cyperus papyrus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","High","",NA,15,"",17,0,1,1,1,7,5,0,0,2,2,0,0,0
"82","Cyprinella lutrensis ","Red Shiner","Shiner","fish","","yes","no","","","","","yes","yes","","","","","",NA,NA,"","","no","yes","no","Mandrak et al 2014","","Roy et al. 2018","","",NA,NA,"",36,2,0,2,0,2,8,0,1,2,1,0,0,1
"83","Cyprinus carpio ","Common carp, koi","carp","fish","","yes","yes","","","Yes","","yes","yes","","yes","","","",NA,NA,"yes","Washington","yes","yes","yes","Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017","Feeken et al. 2019","","",NA,NA,"",891,215,14,39,11,1231,681,22,15,68,31,8,11,32
"84","Danio albolineatus ","Pearl danio","danio","fish","","yes","no","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Mandrak et al 2014","","","","",NA,NA,"",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"85","Didymosphenia geminata","Didymo","diatom","phytoplankton","yes","","","yes","","","","","","","","","","",NA,NA,"yes","Washington, Alberta","no","yes","yes","BC Ministry List","","Blinn 2015, Kirkwood et al. 2007, 2009","","",NA,NA,"",100,2,0,0,0,1,2,1,2,2,10,3,2,7
"86","Dracaena fragrans","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",2,0,0,0,0,0,1,0,1,0,0,0,0,0
"87","Dracaena sanderiana","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","",NA,4,"",5,0,0,0,0,1,0,0,0,0,0,0,0,0
"88","Dreissena bugensis ","Quagga Mussel ","mollusc","invertebrate","","","yes","","","","","","","","","","yes","",NA,NA,"","","yes","yes","no","Schroeder et al. 2014","Therriault et al. 2013, DFO Canadawide RA","","","",NA,NA,"",345,5,0,0,1,5,14,24,23,19,3,0,2,14
"89","Dreissena polymorpha ","Zebra Mussel ","mollusc","invertebrate","","","yes","","","","","","","","","","yes","",NA,NA,"","","yes","yes","yes","Schroeder et al. 2014","Therriault et al. 2013, DFO Canadawide RA","","","",NA,NA,"",1475,36,3,5,11,65,110,77,85,73,7,2,6,61
"90","(Echinodorus bolivianus OR Echinodorus latifolius OR Echinodorus angustifolius OR Echinodorus quadricostatus)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,2,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Echinodorus cordifolius","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,1,0,0,0,2,1,0,0,0,0,0,0,0
"92","(Echinodorus grandiflorus OR Echinodorus muricatus)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,43,"",1,1,0,0,0,1,0,0,0,1,0,0,0,0
"93","(Echinodorus martii OR Echinodorus major)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,5,"",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"94","(Echinodorus tenellus OR Helanthium tenellum)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,8,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","(Echinodorus uruguayensis OR Echinodorus osiris OR Echinodorus barthii)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,5,"",0,0,0,0,0,1,0,0,0,0,0,0,0,0
