"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","exotic.to.NA","invasive.in.NA","globally.invasive","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","X","X.1","X.2","X.3","X.4","wos","wos_pet_trade","wos_live_trade","wos_bait","wos_biol_supply","wos_aquaculture","wos_stocking","wos_boating","wos_shipping","wos_canal","wos_spread_adj","wos_bc","wos_salmon","wos_impact"
"96","Egeria densa","Brazilian waterweed","waterweed","aquatic plant","yes","","yes","no","","","yes","yes","","","","","","",NA,NA,"yes","Washington","yes","yes","yes","BC Ministry List, Keller and Lodge 2007, Cohen et al. 2007","","(Parsons et al. 2009; Tamayo and Olden 2014)","","",NA,NA,"",124,13,0,0,0,8,3,3,0,6,4,0,0,1
"97","Egeria najas","Narrow leaf elodea (Planchon)","elodea","aquatic plant","","","no","","","","yes","","","","","","","",NA,NA,"yes","Alaska","yes","no","no?","DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","(Luizza et al. 2016; Carey et al. 2016; Sethi et al. 2017; Schwoerer et al. 2020b, 2020a)","","",NA,NA,"",33,3,0,0,0,0,0,0,0,4,0,0,0,0
"98","Eichhornia azurea ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,9,"",9,1,0,0,0,2,2,1,0,1,0,0,0,0
"99","Elassoma evergladei ","","","fish","","","","","","","","","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Elimia livescens ","Liver Elimia ","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","no","yes?","no","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","",NA,NA,"",2,0,0,0,0,0,0,0,0,1,0,0,0,0
"101","Erimyzon sucetta ","Lake chubsucker ","sucker","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","no","yes?","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",2,0,0,0,0,0,1,0,0,0,0,0,0,0
"102","Esox americanus ","Redfin pickerel ","pickerel","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","no","yes?","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",3,0,0,0,0,0,2,0,0,0,1,0,0,0
"103","Esox lucius","Northern Pike","Pike","fish","","yes","yes","","Yukon, Alberta","","","","","","","","","",NA,NA,"yes","Montana, Alaska, Alberta","no","no?","yes","Crossman 1991, BC Ministry List","DFO 2010 BC RA","Clancy and Bourret 2020, (Haught and von Hippel 2011; Sepulveda et al. 2013; Heins et al. 2016; Dunker et al. 2016, 2020; Cathcart et al. 2019, Sepulveda et al. 2018","","",NA,NA,"",192,26,2,14,3,35,256,19,2,17,76,8,8,8
"104","Eucyclops serrulatus","","copepoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","",NA,3,"",3,1,0,0,0,0,2,0,0,1,0,0,0,0
"105","(Faxonius rusticus OR Orconectes rusticus)","rusty crayfish","crayfish","invertebrate","","","yes","","","","","","","","","","","yes",NA,NA,"","","no","yes","no","Brown and Therriault, Keller and Lodge 2007","","","","",NA,NA,"",313,33,2,18,4,15,16,1,3,2,4,0,2,11
"106","(Faxonius virilis OR Orconectes virilis)","Virile or Northern crayfish","crayfish","invertebrate","yes","","","","#NAME?","","","","","","","","","",NA,NA,"yes","Washington","no","yes","no","Brown and Therriault","(Larson et al. 2010; Loffredo et al. 2019)","","","",NA,NA,"",151,16,1,8,1,9,18,1,0,4,10,0,0,7
"107","Gambusia affinis","Mosquitofish","Mosquitofish","fish","","","yes","","","","","","","","","","","yes",NA,NA,"","","no","yes","yes","Crossman 1991, Keller and Lodge ","","","","",NA,NA,"",315,33,5,4,1,28,40,3,0,20,3,1,1,19
"108","Gambusia holbrooki ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,293,"",294,27,4,1,2,18,24,0,0,14,1,0,1,16
"109","Gasterosteus aculeatus","Three spined stickleback","stickleback","fish","","","","","","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",211,52,16,3,1,36,87,3,3,13,132,157,2,7
"110","Glyceria declinata","Waxy mannagrass","mannagrass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,1,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","Glyceria fluitans","Floating sweet-grass","grass","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,1,"",2,0,0,0,0,1,0,0,0,0,0,0,0,1
"112","Glyceria maxima","Giant mannagrass","mannagrass","aquatic plant","yes","","yes","no","","","yes","","","","","","","",NA,NA,"","","yes","yes","yes","BC Ministry List, Keller and Lodge 2007","","","","",NA,NA,"",15,0,0,0,0,5,7,2,0,3,0,0,0,1
"113","Gobio gobio ","Gudgeon ","Gudgeon","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","no","no","yes","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",100,10,0,2,2,6,39,3,3,12,1,0,0,5
"114","Gymnocoronis spilanthoides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,8,"",8,2,0,0,0,0,0,0,0,1,0,0,0,1
"115","Harpacticella paradoxa","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","no","","","Cordell et al. 2007","","",NA,NA,"",1,0,0,0,0,0,0,0,1,0,1,0,0,0
"116","Helisoma anceps ","Two-ridge Rams Horn ","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","Schroeder et al. 2014","","","",NA,8,"",8,1,0,0,0,0,0,0,0,2,0,0,0,0
"117","(Helisoma trivolvis OR Planorella trivolvis)","","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","Schroeder et al. 2014","","","",NA,382,"",8,3,2,0,0,1,3,0,0,0,5,0,0,0
"118","(Hemianthus callitrichoides OR Micranthemum umbrosum)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"119","Hemichromis","Jewel cichlid (sp)","cichlid","fish","yes","","","","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,NA,"",21,5,0,0,1,7,6,0,0,8,0,0,0,0
"120","(Hemigraphis repanda OR Ruellia repanda)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","Hemimysis anomala","Bloody red shrimp","shrimp","invertebrate","","","","","","","","","","","","","","",NA,NA,"","","yes","yes","yes","","DFO Canadawide RA","","","",NA,NA,"",75,1,0,1,0,0,4,4,11,11,0,0,0,8
"122","Heterandria formosa ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,11,"",11,4,1,0,0,0,2,0,0,2,0,0,0,0
"123","Heteranthera zosterifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","Hibiscus acetosella","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",1,0,0,0,0,0,1,0,1,0,0,0,0,0
"125","Hiodon alosoides","Goldeye","Goldeye","fish","","","","","Alberta","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",0,1,0,0,0,0,1,0,0,0,7,0,0,0
"126","Hottonia palustris ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,2,"",2,0,0,0,0,0,0,0,0,1,0,0,0,0
"127","Houttuynia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,11,"",13,0,0,0,0,10,1,2,0,1,0,0,0,0
"128","Hydra","","","invertebrate","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","",NA,2,"",167,4,3,1,2,15,13,2,2,11,20,1,0,2
"129","Hydrocharis morsus-ranae","european frog-bit","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,18,"",18,0,0,1,0,0,2,0,0,2,0,0,0,0
"130","Hydrocotyle","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,56,"",56,1,0,1,0,7,1,1,0,4,1,0,0,2
"131","(Hydrocotyle sibthorpioides OR Hydrocotyle maritima OR Hydrocotyle rotundifolia)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,30,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","(Hygrophila angustifolia OR Hygrophila salicifolia)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","","Moderately High","",NA,2,"",1,1,0,0,0,0,0,1,0,0,0,0,0,0
"133","Hygrophila corymbosa","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","High","",NA,1,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"134","(Hygrophila difformis OR Synnema triflorum)","water wisteria","(Blume) (syn. Synnema triflorum)","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","yes","yes","no","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","","",NA,NA,"",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"135","Hygrophila polysperma ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,10,"",10,2,0,0,0,0,0,0,0,2,0,0,0,0
"136","(Hygrophila stricta OR Nomaphylla stricta)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,4,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Hymenocallis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,2,"",2,0,0,0,0,1,0,0,0,1,1,0,0,0
"138","Hypophthalmichthys molitrix ","Silver carp ","carp","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","yes","yes","yes","Therriault and Webb 2017","Therriault and Webb 2017, DFO Canadawide RA","Roy et al. 2018","","",NA,NA,"",250,12,3,4,2,125,141,17,4,12,25,1,3,6
"139","Hypophthalmichthys nobilis ","Bighead carp ","carp","fish","","","","","","Yes","","","yes","","","","","",NA,NA,"","","yes","yes","yes","Therriault and Webb 2017, Keller and Lodge 2007","Therriault and Webb 2017, DFO Canadawide RA","Roy et al. 2018","","",NA,NA,"",176,3,4,3,0,68,59,9,3,6,0,0,1,5
"140","Ichthyomyzon greeleyi ","Mountain brook lamprey ","lamprey","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","Ictalurus furcatus ","Blue catfish","catfish","fish","","","no","","","","","","","","","","","",NA,NA,"","","no","yes","yes?","Mandrak et al 2014","","","","",NA,NA,"",54,14,3,6,1,58,88,3,2,0,1,0,1,6
"142","Ictalurus punctatus ","Channel catfish","catfish","fish","","yes","yes","","Idaho","","","yes","yes","","","","","",NA,NA,"","","no","yes","no","Crossman 1991, Mandrak et al 2014","","","","",NA,NA,"",184,147,11,26,2,583,458,7,7,15,4,1,3,4
"143","Ictiobus cyprinellus ","Bigmouth buffalo","buffalo","fish","","yes","yes","","","","","yes","yes","","","","","",NA,NA,"","","no","yes","no","Mandrak et al 2014","","","","",NA,NA,"",13,0,0,0,0,3,2,1,0,0,0,0,0,0
"144","Indoplanorbis exustus ","","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","",NA,NA,"",7,1,0,0,0,2,0,0,0,2,0,0,0,0
"145","Iris pseudacorus","Yellow iris","iris","aquatic plant","yes","","yes","no","","","yes","","","","","","","",NA,NA,"","","no","yes","no?","BC Ministry List, Keller and Lodge 2007","","","","",NA,NA,"",26,0,0,0,1,12,0,0,0,0,0,3,0,0
"146","(Isolepis cernua OR Scirpus cernuus)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,5,"",2,0,0,0,0,1,0,0,0,0,0,0,0,0
"147","Jordanella floridae ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,3,"",3,0,0,0,0,0,0,0,0,0,1,0,0,0
"148","Juncus bulbosus","Bulbous rush","rush","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","","","","BC Ministry List","","","","",NA,9,"",9,0,0,0,0,1,0,1,0,1,0,0,0,0
"149","Juncus repens","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,6,"",6,0,0,0,0,1,2,0,0,0,0,0,0,0
"150","Jussiaea diffusa","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Kryptopterus bicirrhis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,2,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Lampetra ayresii ","Western river lamprey ","lamprey","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",2,0,0,0,0,0,0,0,0,2,2,3,0,0
"153","Lampetra fluviatilis ","european River lamprey ","lamprey","fish","","","","","","Yes","","","","","","","","",NA,NA,"","","yes","no","yes","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",21,4,1,1,0,3,22,1,0,8,3,2,1,1
"154","Lampetra pacifica ","Pacific brook lamprey ","lamprey","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",0,0,0,0,0,0,0,0,0,0,1,2,0,0
"155","Lates calcarifer","Barramundi or Asian sea bass","bass","fish","","","","","","","","","","","yes","","","",NA,NA,"","","yes","no","yes","DFO aquaculture liscence","","","","",NA,NA,"",41,21,6,7,2,284,215,2,2,3,1,1,0,0
"156","Lecane monostyla","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on Vallisneria plants","",NA,1,"",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"157","Lecane pyriformis","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on Vallisneria plants","",NA,1,"",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"158","Lepadella ovalis","","rotifer","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on sword plants and Vallisneria plants","",NA,1,"",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"159","Lepeophtheirus salmonis","sea lice","copepod","parasite","","","","","","","","","","","","","","",NA,NA,"","","","","","","","","concern that it could evolve freshwater tolerance Groner et al. 2019, Ljungfeldt et al. 2017","",NA,52,"",55,5,0,1,2,486,147,5,0,4,4,131,9,0
"160","Lepisosteus oculatus ","Spotted gar","gar","fish","","yes","yes","","","","","yes","","","","","","",NA,NA,"","","no","yes","no","Mandrak et al 2014","","","","",NA,NA,"",6,1,0,1,0,1,6,0,0,5,1,0,0,0
"161","Lepisosteus osseus ","Longnose gar","gar","fish","","yes","yes","","","","","yes","","","","","","",NA,NA,"","","no","no","no","Mandrak et al 2014","","","","",NA,NA,"",2,1,0,1,0,0,5,0,0,2,0,0,0,0
"162","Lepomis cyanellus","Green sunfish","sunfish","fish","","","","","","","","","","","","","","",NA,NA,"yes","Washington","no","yes","yes","","","Bonar et al. 2005","","",NA,NA,"",22,6,0,1,0,11,22,1,0,5,4,1,2,2
"163","Lepomis gibbosus","Pumpkinseed","sunfish","fish","","yes","yes","","USA","Yes","","","","","","","","",NA,NA,"yes","Montana, Washington","no","yes","yes","Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bonar et al. 2005","","",NA,NA,"",242,18,1,1,2,2,26,7,2,9,8,5,3,8
"164","Lepomis gulosus","Warmouth","sunfish","fish","","","","","","","","","","","","","","",NA,NA,"yes","Washington","no","yes","no","","","Bonar et al. 2005","","",NA,NA,"",5,1,0,0,0,0,0,1,0,2,1,0,1,0
"165","Lepomis macrochirus ","Bluegill","sunfish","fish","yes","","","","","","","yes","","","","","","",NA,NA,"yes","Montana, Washington","no","yes","yes","Mandrak et al 2014, BC Ministry List","","Clancy and Bourret 2020, Bonar et al. 2005","","",NA,NA,"",159,34,3,10,1,25,119,12,5,13,11,5,2,2
"166","Lepomis megalotis ","Longear sunfish ","sunfish","fish","","yes","yes","","","","","yes","","","","","","",NA,NA,"yes","Montana","no","yes","no","Mandrak et al 2014","","Clancy and Bourret 2020","","",NA,NA,"",2,2,0,1,0,0,1,1,0,2,2,1,0,0
"167","Lethenteron alaskense ","Alaskan brook lamprey","lamprey","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",1,0,0,0,0,0,0,0,0,0,1,1,0,0
"168","Leuciscus idus ","ide","ide","fish","","yes","no","","","","","yes","yes","","","","","",NA,NA,"","","yes","yes","yes","Mandrak et al 2014","","Roy et al. 2018","","",NA,NA,"",7,3,0,0,0,10,20,0,0,2,0,0,1,0
"169","Limnoithona tetraspina","","copepoda","zooplankton","","","","","","","","","","","","","","",NA,NA,"yes","Washington","yes","yes","yes?","","","Cordell et al. 2008","","",NA,NA,"",11,0,0,0,0,0,0,0,3,0,1,0,0,0
"170","Lobelia sessilifolia ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,1,"",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"171","Lota lota","burbot","burbot","fish","","","","","Northwest territories","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",42,4,0,0,1,29,76,3,0,11,51,35,0,2
"172","Ludwigia palustris ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,6,"",6,0,0,0,0,0,0,1,0,0,2,0,0,0
"173","Ludwigia repens","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Cohen et al. 2007","","","","",NA,5,"",5,1,0,0,0,1,0,0,0,0,0,0,0,0
"174","Lycoris radiata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,4,"",5,3,0,0,0,4,0,0,0,0,0,0,0,0
"175","(Lymnaea natalensis OR Radix natalensis)"," (=Radix natalensis) ","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, Duggan et al. 2018","Schroeder et al. 2014","","","",NA,NA,"",6,0,0,1,0,0,0,1,0,4,0,0,0,1
"176","(Lymnaea palustris OR Stagnicola palustris)","(=Stagnicola palustris) ","mollusc","invertebrate","","","yes","","","","","yes","","","","","","",NA,NA,"","","yes","no","no","Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018","Schroeder et al. 2014","","","",NA,NA,"",4,0,0,0,0,0,1,0,0,0,1,0,0,0
"177","Lymnaea peregra ","wandering pond snail","mollusc","invertebrate","","","Unknown ","","","","","yes","","","","","","",NA,NA,"","","yes","no","no?","Schroeder et al. 2014, DFO SLRA 2014","Schroeder et al. 2014","","","",NA,NA,"",17,1,0,0,0,0,0,0,0,3,2,0,0,0
"178","Lymnaea stagnalis ","","mollusc","invertebrate","","","yes","","","","","","","","","","","",NA,NA,"","","","","","Schroeder et al. 2014","Schroeder et al. 2014","","","",NA,62,"",66,13,4,3,1,12,6,2,0,6,11,0,0,1
"179","Lysimachia nummularia","moneywort","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,5,"",5,1,0,0,0,1,0,0,0,0,0,0,0,0
"180","(Marsilea crenata OR Marsilea crenulata)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,14,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"181","Marsilea hirsuta","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,2,"",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Marsilea mutica","water fern","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Marsilea quadrifolia","water shamrock","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,5,"",5,0,0,0,1,3,0,0,0,1,0,0,0,0
"184","Mayaca fluviatilis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","",NA,2,"",2,1,0,0,0,0,0,0,0,1,0,0,0,0
"185","Melanoides tuberculata ","Malaysian Trumpet Snail, Red-rimmed Melania ","mollusc","invertebrate","","","No ","","","","","yes","","","","","","",NA,NA,"","","yes","yes","yes","Schroeder et al. 2014, DFO SLRA 2014, Duggan et al. 2018","Schroeder et al. 2014","","","",NA,NA,"",130,20,1,0,2,14,7,1,4,10,1,0,0,6
"186","Mentha aquatic","water mint","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","","","","Keller and Lodge 2007","","","","",NA,7,"",7,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","Microcyclops rubellus","","copepoda","zooplankton","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Duggan et al. 2018","","","on Sword plants","",NA,1,"",1,2,0,0,0,0,0,0,1,0,0,0,0,0
"188","(Micromeria brownei OR Clinopodium brownei)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Micropterus dolomieu","Smallmouth bass","bass","fish","","yes","yes","","","Yes","","","","","","","","",NA,NA,"yes","Montana","no","yes","yes","Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA, DFO Atlantic salmon RA","Clancy and Bourret 2020","","",NA,NA,"",151,4,2,3,0,4,77,16,1,10,24,1,6,2
"190","Micropterus salmoides ","Largemouth bass","bass","fish","","yes","yes","","USA","Yes","","yes","yes","","","","","",NA,NA,"yes","Montana, Idaho, Washington","no","yes","yes","Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List, Keller and Lodge 2007","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Braun and Walser 2011,Christensen and Moore 2010; Hawkins et al. 2020; Marsha et al. 2021, bonar et al. 2005","","",NA,NA,"",336,45,4,16,0,93,302,35,6,21,33,6,5,10
"191","Microsorum pteropus ","java fern","Copel. (syn. Colysis pteropus)","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","yes","no","no","Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","","","",NA,NA,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","(Microsorum pteropus OR Colysis pteropus)","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015, cohen et al. 2007","Azan et al. 2015","","High","",NA,15,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Mimulus luteus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,8,"",8,0,0,0,0,0,0,0,0,0,0,0,0,0
