,Species.name,common.name,taxa_smaller,taxa_big,present.in.BC,established.in.BC,established.in.Canada,native.to.part.of.BC,source.region.to.BC,hitlist..according.to.Therriault.and.Webb.,ornamental.nursery.trade,aquarium.pet..trade,live.food.market,biological.supply,aquaculture,fish.stocking,recreational.boating,bait.industry,shipping.and.ballast,canals.and.diversions,adjacent.region,if.adjacent..where,exotic.to.NA,invasive.in.NA,globally.invasive,Listed.in.publications,Risk.assessment.pubs,impact.other.pubs,X,X.1,X.2,X.3,X.4,X.5,wos
287,Pontederia ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,4,,NA,38
295,Pseudacris regilla,Chorus frog,frog,amphibian,yes,,,yes,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,38,,NA,38
56,Carex glauca OR Carex flacca,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,36,,NA,36
82,Cyprinella lutrensis ,Red Shiner,Shiner,fish,,yes,no,,,,,yes,yes,,,,,,NA,NA,,,no,yes,no,Mandrak et al 2014,,Roy et al. 2018,,,NA,NA,,NA,36
155,Lates calcarifer,Barramundi or Asian sea bass,bass,fish,,,,,,,,,,,yes,,,,NA,NA,,,yes,no,yes,DFO aquaculture liscence,,,,,NA,NA,,NA,36
206,Mylopharyngodon piceus,Black carp,carp,fish,,,,,,Yes,,,yes,,,,,,NA,NA,,,yes,yes,yes,Therriault and Webb 2017,"Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,,,NA,NA,,NA,35
293,Primula,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,35,,NA,35
5,Alosa sapidissima,American shad,shad,fish,,yes,yes,,USA,,,,,,,,,,NA,NA,yes,,no,yes,no,"Crossman 1991, BC Ministry List",,,,,NA,NA,,NA,34
97,Egeria najas,Narrow leaf elodea (Planchon),elodea,aquatic plant,,,no,,,,yes,,,,,,,,NA,NA,yes,Alaska,yes,no,no?,"DFO SLRA 2014, Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,"(Luizza et al. 2016; Carey et al. 2016; Sethi et al. 2017; Schwoerer et al. 2020b, 2020a)",,,NA,NA,,NA,33
229,Nymphaea stellata OR Nymphaea nouchali,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,33,,NA,33
327,Ruellia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,33,,NA,33
39,Biomphalaria straminea ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,no,yes,"Schroeder et al. 2014, DFO SLRA 2014",,,,,NA,NA,,NA,32
45,Butomus umbellatus,Flowering-rush,rush,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,31,,NA,31
213,Mysis diluviana,Opossum shrimp,shrimp,invertebrate,,,,,,,,,,,,,,,NA,NA,yes,"Montana, Idaho, Washington",no,yes,no,,,"Ellis et al 2011, Devlin et al. 2017, Caldwell et al. 2016, Schoen et al. 2015",,,NA,NA,,NA,31
1,Acipenser transmontanus ,white sturgeon,sturgeon,fish,,,,,"Oregon, California",,,,,,yes,,,,NA,NA,,,no,yes,no,"Crossman 1991, DFO aquaculture liscences",,,,,NA,NA,,NA,30
40,Bithynia tentaculata ,Faucet Snail ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,NA,NA,yes,Montana,yes,yes,no,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,Sanland and Pierce 2021,,,NA,NA,,NA,30
131,Hydrocotyle sibthorpioides OR Hydrocotyle maritima OR Hydrocotyle rotundifolia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,30,,NA,30
321,Rana clamitans,Green frog,frog,amphibian,yes,yes,,yes,,,,,,,,,,,NA,NA,,,no,yes,no,BC Ministry List,,,,,NA,NA,,NA,30
263,Physella acuta ,European Physa ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,NA,NA,,,no,yes,yes,"Schroeder et al. 2014, Duggan et al. 2018",Schroeder et al. 2014,,,,NA,NA,,NA,29
15,Anguilla australis ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,28,,NA,28
386,Xiphophorus hellerii,Green swordtail,swordtail,fish,,,,,,,,,,,,,,,NA,NA,,,yes,yes,yes,Crossman 1991,,,,,NA,NA,,NA,28
105,Faxonius rusticus,rusty crayfish,crayfish,invertebrate,,,yes,,,,,,,,,,,yes,NA,NA,,,no,yes,no,"Brown and Therriault, Keller and Lodge 2007",,,,,NA,NA,,NA,27
380,Vallisneria spiralis ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,26,,NA,26
387,Xiphophorus maculatus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,26,,NA,26
62,Chelydra serpentina,Eastern snapping turtle,turtle,reptile,yes,,,yes,,,,,,,,,,,NA,NA,,,no,yes,no?,BC Ministry List,,,,,NA,NA,,NA,25
63,Chelydra serpentina serpentina,Eastern snapping turtle,turtle,reptile,yes,,,yes,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,25,,NA,25
64,Cladophora aegagropila OR Aegagropila linnaei,"moss ball, marimo",(syn. Aegagropila linnaei),aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,yes,no,no,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,,,NA,NA,,NA,25
210,Myriophyllum heterophyllum,Varied-leaved watermilfoil,watermilfoil,aquatic plant,yes,,,no,,,yes,,,,,,,,NA,NA,,,no,yes,yes,"BC Ministry List, DFO SLRA 2014",,,,,NA,NA,,NA,25
275,Poecilia latipinna ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,25,,NA,25
145,Iris pseudacorus,Yellow iris,iris,aquatic plant,yes,,yes,no,,,yes,,,,,,,,NA,NA,,,no,yes,no?,"BC Ministry List, Keller and Lodge 2007",,,,,NA,NA,,NA,24
220,Notemigonus crysoleucas,golden shiner,shiner,fish,,,yes,,,,,,,,,,,yes,NA,NA,yes,Washington,no,yes,no,Keller and Lodge 2007,,Bonar et al. 2005,,,NA,NA,,NA,24
230,Nymphoides aquatic ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,22,,NA,22
296,Pseudodiaptomus forbesi,,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,"Dexter et al. 2020, Lee et al. 2016, Cordell et al. 2008",,,NA,NA,,NA,22
360,Tardigrada,tardigrade,tardigrade,invertebrate,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on Vallisneria plants,,NA,22,,NA,22
58,Catostomus commersonii,White sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,,NA,NA,yes,Montana,no,yes,no,Crossman 1991,,Clancy and Bourret 2020,,,NA,NA,,NA,21
119,Hemichromis,Jewel cichlid (sp),cichlid,fish,yes,,,,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,NA,,NA,21
162,Lepomis cyanellus,Green sunfish,sunfish,fish,,,,,,,,,,,,,,,NA,NA,yes,Washington,no,yes,yes,,,Bonar et al. 2005,,,NA,NA,,NA,21
207,Myosotis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,20,,NA,20
38,Biomphalaria pfeifferi ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,NA,NA,,NA,19
153,Lampetra fluviatilis ,european River lamprey ,lamprey,fish,,,,,,Yes,,,,,,,,,NA,NA,,,yes,no,yes,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,19
339,Salvelinus malma,Dolly varden trout,salmonid,fish,,,,,,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,19
129,Hydrocharis morsus-ranae,european frog-bit,,aquatic plant,,,yes,,,,yes,,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,NA,18,,NA,18
237,Oncorhynchus keta,Chum salmon,salmonid,fish,,,,,"Alaska, Yukon",,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,18
250,Pectinatella magnifica,magnificent bryozoan,bryozoan,invertebrate,yes,,,no,,,,,,,,,,,NA,NA,,,no,yes,yes,BC Ministry List,,,,,NA,NA,,NA,18
44,Bulinus truncatus ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,NA,NA,,NA,17
177,Lymnaea peregra ,wandering pond snail,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,NA,NA,,,yes,no,no?,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,NA,NA,,NA,17
232,Oenanthe,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,17,,NA,17
269,Pisidium corneum OR Sphaerium corneum ,European Fingernail Clam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,Mackie 1976; Mackie 2000,parasite host,,NA,17,,NA,17
264,Piaractus brachypomus,Red-bellied pacu,pacu,fish,yes,,,,,,,,,,,,,,NA,NA,,,yes,yes,yes,BC Ministry List,,,,,NA,NA,,NA,16
297,Pseudodiaptomus inopinus,,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,Cordell et al. 2008,,,NA,NA,,NA,16
35,Betta splendens,Siamese fighting fish,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Gertzen et al. 2007,,,,,NA,15,,NA,15
81,Cyperus papyrus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,NA,15,,NA,15
192,Microsorum pteropus OR Colysis pteropus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, cohen et al. 2007",Azan et al. 2015,,High,,NA,15,,NA,15
221,Notropis hudsonius,Margined madtom or spottail shiner,shiner,fish,,yes,,yes,,,,maybe,,,,,,,NA,NA,,,no,yes,no,"Crossman 1991, BC Ministry List",,,,,NA,NA,,NA,15
286,Pomoxis nigromaculatus ,Black crappie,crappie,fish,,yes,yes,,USA,,,yes,,,,,,,NA,NA,yes,"Montana, Washington",no,yes,no,"Crossman 1991, Mandrak et al 2014, BC Ministry List",,"Clancy and Bourret 2020, Bonar et al. 2005",,,NA,NA,,NA,15
302,Ptychocheilus oregonensis ,Northern pikeminnow ,pikeminnow,fish,,,,,,No,,,,,,,,,NA,NA,yes,Montana,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,NA,NA,,NA,15
112,Glyceria maxima,Giant mannagrass,mannagrass,aquatic plant,yes,,yes,no,,,yes,,,,,,,,NA,NA,,,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,,,,NA,NA,,NA,14
180,Marsilea crenata OR Marsilea crenulata,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,14,,NA,14
198,Monopterus albus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,14,,NA,14
218,Najas minor,less naiad,,aquatic plant,,,yes,,,,,yes,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,NA,14,,NA,14
22,Astronotus ocellatus,Oscar,cichlid,fish,yes,,,,,,,,,,,,,,NA,NA,,,yes,yes,yes,BC Ministry List,,,,,NA,NA,,NA,13
69,Cordyline,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,13,,NA,13
143,Ictiobus cyprinellus ,Bigmouth buffalo,buffalo,fish,,yes,yes,,,,,yes,yes,,,,,,NA,NA,,,no,yes,no,Mandrak et al 2014,,,,,NA,NA,,NA,13
42,Bosmina coregoni,water flea,cladocera,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,Lee et al. 2016,,,,NA,NA,,NA,12
351,Siniperca chuatsi ,Mandarin fish/Chinese perch,perch,fish,,,,,,,,yes,yes,,,,,,NA,NA,,,yes,no,no?,Mandrak et al 2014,,Roy et al. 2018,,,NA,NA,,NA,12
365,Thymallus arcticus,Arctic grayling,grayling,fish,,,,,"Yukon, Alaska, Northwest Terrirtories",,,,,,,,,,NA,NA,,,no,yes,yes,Crossman 1991,,,,,NA,NA,,NA,12
27,Bacopa caroliniana OR Bacopa amplexicaulis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,NA,11,,NA,11
106,Faxonius virilis,Virile or Northern crayfish,crayfish,invertebrate,yes,,,,#NAME?,,,,,,,,,,NA,NA,yes,Washington,no,yes,no,Brown and Therriault,(Larson et al. 2010; Loffredo et al. 2019),,,,NA,NA,,NA,11
122,Heterandria formosa ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,11,,NA,11
127,Houttuynia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,11,,NA,11
169,Limnoithona tetraspina,,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,yes?,,,Cordell et al. 2008,,,NA,NA,,NA,11
197,Mogurnda mogurnda ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,11,,NA,11
347,Saprolegnia parasitica,water mould,Ootmycetes,fungus,,,,,,,,,,,,,,,NA,NA,,,,,,,,(de la Bastide et al. 2018),,,NA,11,,NA,11
36,Biomphalaria alexandrina ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,NA,NA,,NA,10
72,Craspedacusta sowerbyi,Freshwater jellyfish,hydrozoan,invertebrate,yes,,,no,,,,yes,,,,,,,NA,NA,,,yes,yes,yes,"BC Ministry List, Duggan et al. 2018",,,,,NA,NA,,NA,10
135,Hygrophila polysperma ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,10,,NA,10
278,Poecilia sphenops ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,10,,NA,10
345,Sander canadensis ,Sauger ,Sauger,fish,,,,,,No,,,,,,,,,NA,NA,,,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,NA,NA,,NA,10
28,Bacopa monnieri ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,9,,NA,9
78,Culaea inconstans ,Brook stickleback,stickleback,fish,,,,,Alberta,Yes,,,,,,yes,,,NA,NA,yes,Washington,no,yes,no,"Crossman 1991, Therriault and Webb 2017",Therriault and Webb 2017,(Scholz et al. 2003; Wieker et al. 2016),,,NA,NA,,NA,9
98,Eichhornia azurea ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,9,,NA,9
134,Hygrophila difformis OR Synnema triflorum,water wisteria,(Blume) (syn. Synnema triflorum),aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,yes,yes,no,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,,,NA,NA,,NA,9
148,Juncus bulbosus,Bulbous rush,rush,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,9,,NA,9
195,Misgurnus fossilis ,weatherfish,weatherfish,fish,,yes,no,,,,,yes,,,,,,,NA,NA,,,yes,no,no,Mandrak et al 2014,,,,,NA,NA,,NA,9
201,Morone saxatilis x chrysops ,Wiper,Bass,fish,,,no,,,,,yes,yes,,,,,,NA,NA,,,,,,Mandrak et al 2014,,Roy et al. 2018,,,NA,9,,NA,9
231,Nymphoides peltata,Yellow floating heart,heart,aquatic plant,yes,,yes,no,,,yes,yes,,,,,,,NA,NA,,,yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,,,,NA,NA,,NA,9
268,Pisidium amnicum ,Greater European Peaclam ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,NA,9,,NA,9
300,Pterophyllum scalare,Angelfish,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Gertzen et al. 2007,,,,,NA,9,,NA,9
342,Salvelinus trutta x Salvelinus namaycush OR Splake,Splake,Splake,fish,yes,,,,,,,,,,,,,,NA,NA,,,no,yes,no,BC Ministry List,,,,,NA,NA,,NA,9
9,Ameiurus natalis,Yellow bullhead,bullhead catfish,fish,yes,,,,,,,,,,,,,,NA,NA,yes,Montana,no,yes,no,BC Ministry List,,Clancy and Bourret 2020,,,NA,NA,,NA,8
79,Cyperus alternifolius,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,8,,NA,8
94,Echinodorus tenellus OR Helanthium tenellum,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,8,,NA,8
114,Gymnocoronis spilanthoides,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,8,,NA,8
116,Helisoma anceps ,Two-ridge Rams Horn ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,Schroeder et al. 2014,,,,NA,8,,NA,8
193,Mimulus luteus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,8,,NA,8
258,Petromyzontidae,lamprey (sp),lamprey,fish,,,,,"Washington, California",,,,,,,,,,NA,NA,,,,,,Crossman 1991,,,,,NA,NA,,NA,8
280,Pogostemon stellatus OR Dysophylla stellata OR Eusteralis stellata,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,8,,NA,8
318,Radix auricularia ,"European Ear Snail, Big-eared Radix ",mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,Larson et al. 2018,,,NA,NA,,NA,8
374,Typha minima,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,High,,NA,8,,NA,8
34,Bellamya japonica OR Cipangopaludina japonica,Japanese Mysterysnail ,mollusc,invertebrate,,,yes,,,,,,,,,,,,NA,NA,,,,,,Schroeder et al. 2014,,,net fouler,,NA,7,,NA,7
73,Crinum,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,7,,NA,7
144,Indoplanorbis exustus ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,,,NA,NA,,NA,7
168,Leuciscus idus ,ide,ide,fish,,yes,no,,,,,yes,yes,,,,,,NA,NA,,,yes,yes,yes,Mandrak et al 2014,,Roy et al. 2018,,,NA,NA,,NA,7
186,Mentha aquatic,water mint,,aquatic plant,,,yes,,,,yes,,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,NA,7,,NA,7
224,Nymphaea alba,European white waterlily,waterlily,aquatic plant,,,yes,,,,yes,,,,,,,,NA,NA,,,,,,DFO SLRA 2014,,,,,NA,7,,NA,7
228,Nymphaea odorata,Fragrant waterlily,waterlily,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,7,,NA,7
325,Rotala,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,7,,NA,7
331,Sagittaria platyphylla,Delta arrowhead,arrowhead,aquatic plant,,,no,,,,yes,,,,,,,,NA,NA,,,no,yes,yes,"DFO SLRA 2014, cohen et al. 2007",,,,,NA,NA,,NA,7
20,Aponogeton crispus OR Aponogeton elongatus,Ruffled Sword Plant,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,NA,6,,NA,6
24,Azolla caroliniana,Eastern mosquito fern,fern,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,NA,6,,NA,6
49,Cabomba piauhyensis OR Cabomba furcata,Red Cabomba Plant,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,6,,NA,6
66,Colisa lalia,Dwarf gourami,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Gertzen et al. 2007,,,,,NA,6,,NA,6
149,Juncus repens,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,6,,NA,6
160,Lepisosteus oculatus ,Spotted gar,gar,fish,,yes,yes,,,,,yes,,,,,,,NA,NA,,,no,yes,no,Mandrak et al 2014,,,,,NA,NA,,NA,6
172,Ludwigia palustris ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,6,,NA,6
256,Percopsis omiscomaycus,trout-perch,perch,fish,,,,,,,,,,,,,,,NA,NA,,,no,yes,no,Crossman 1991,,,,,NA,NA,,NA,6
274,Plumatella,bryozoan,bryozoan,invertebrate,,,,,,,,yes,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on sword plants,,NA,6,,NA,6
279,Poecilia velifera ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,6,,NA,6
348,Schizopera,,copepoda,zooplankton,,,,,,,yes,,,,,,,,NA,NA,,,,,,Duggan et al. 2018,,,on sword plants and Vallisneria plants,,NA,6,,NA,6
367,Tonina fluviatilis OR Hyphydra amplexicaulis OR Tonina fluviatilis f. parvifolia,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,6,,NA,6
388,Xiphophorus variatus ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,6,,NA,6
16,Anguilla bicolor ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,5,,NA,5
23,Atractosteus spatula ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,5,,NA,5
61,Channa maculata,Blotched snakehead,snakehead,fish,yes,,,,,,,,yes,,,,,,NA,NA,,,yes,yes,no,BC Ministry List,,Roy et al. 2018,,,NA,NA,,NA,5
65,Cobitis taenia ,Spined loach,loach,fish,,yes,no,,,,,yes,,,,,,,NA,NA,,,yes,no,no,Mandrak et al 2014,,,,,NA,NA,,NA,5
74,Cryptocoryne cordata OR Cryptocoryne blassii,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,5,,NA,5
93,Echinodorus martii OR Echinodorus major,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,5,,NA,5
95,Echinodorus uruguayensis OR Echinodorus osiris OR Echinodorus barthii,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,NA,5,,NA,5
146,Isolepis cernua OR Scirpus cernuus,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,NA,5,,NA,5
164,Lepomis gulosus,Warmouth,sunfish,fish,,,,,,,,,,,,,,,NA,NA,yes,Washington,no,yes,no,,,Bonar et al. 2005,,,NA,NA,,NA,5
173,Ludwigia repens,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,NA,5,,NA,5
179,Lysimachia nummularia,moneywort,,aquatic plant,,,yes,,,,yes,,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,NA,5,,NA,5
183,Marsilea quadrifolia,water shamrock,,aquatic plant,,,yes,,,,yes,,,,,,,,NA,NA,,,,,,Keller and Lodge 2007,,,,,NA,5,,NA,5
196,Mogurnda adspersa ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,5,,NA,5
233,Oenanthe aquatica,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,NA,5,,NA,5
285,Pomoxis annularis ,White crappie ,crappie,fish,,,,,,No,,,,,,,,,NA,NA,yes,Montana,no,yes,no,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,NA,NA,,NA,5
323,Richardsonius balteatus,Redside shiner,shiner,fish,yes,,,yes,Alberta,,,,,,,,,,NA,NA,yes,Montana,no,yes,no,"Crossman 1991, BC Ministry List",,Clancy and Bourret 2020,,,NA,NA,,NA,5
352,Sinocalanus doerrii,asian calanoid copepod,copepoda,zooplankton,,,,,,,,,,,,,,,NA,NA,yes,Washington,yes,yes,no,,,Cordell et al. 2008,,,NA,NA,,NA,5
30,Barbonymus schwanenfeldii ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,NA,4,,NA,4
